Title,Authors,pdf,supp,arXiv
UFineBench: Towards Text-based Person Retrieval with Ultra-fine Granularity,"Jialong Zuo, Hanyu Zhou, Ying Nie, Feng Zhang, Tianyu Guo, Nong Sang, Yunhe Wang, Changxin Gao",https://openaccess.thecvf.com/content/CVPR2024/papers/Zuo_UFineBench_Towards_Text-based_Person_Retrieval_with_Ultra-fine_Granularity_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Zuo_UFineBench_Towards_Text-based_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2312.03441
Efficient Hyperparameter Optimization with Adaptive Fidelity Identification,"Jiantong Jiang, Zeyi Wen, Atif Mansoor, Ajmal Mian",https://openaccess.thecvf.com/content/CVPR2024/papers/Jiang_Efficient_Hyperparameter_Optimization_with_Adaptive_Fidelity_Identification_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Jiang_Efficient_Hyperparameter_Optimization_CVPR_2024_supplemental.pdf,
ASH: Animatable Gaussian Splats for Efficient and Photoreal Human Rendering,"Haokai Pang, Heming Zhu, Adam Kortylewski, Christian Theobalt, Marc Habermann",https://openaccess.thecvf.com/content/CVPR2024/papers/Pang_ASH_Animatable_Gaussian_Splats_for_Efficient_and_Photoreal_Human_Rendering_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Pang_ASH_Animatable_Gaussian_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2312.05941
Focus on Hiders: Exploring Hidden Threats for Enhancing Adversarial Training,"Qian Li, Yuxiao Hu, Yinpeng Dong, Dongxiao Zhang, Yuntian Chen",https://openaccess.thecvf.com/content/CVPR2024/papers/Li_Focus_on_Hiders_Exploring_Hidden_Threats_for_Enhancing_Adversarial_Training_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Li_Focus_on_Hiders_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2312.07067
ArtAdapter: Text-to-Image Style Transfer using Multi-Level Style Encoder and Explicit Adaptation,"Dar-Yen Chen, Hamish Tennent, Ching-Wen Hsu",https://openaccess.thecvf.com/content/CVPR2024/papers/Chen_ArtAdapter_Text-to-Image_Style_Transfer_using_Multi-Level_Style_Encoder_and_Explicit_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Chen_ArtAdapter_Text-to-Image_Style_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2312.02109
GoodSAM: Bridging Domain and Capacity Gaps via Segment Anything Model for Distortion-aware Panoramic Semantic Segmentation,"Weiming Zhang, Yexin Liu, Xu Zheng, Lin Wang",https://openaccess.thecvf.com/content/CVPR2024/papers/Zhang_GoodSAM_Bridging_Domain_and_Capacity_Gaps_via_Segment_Anything_Model_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Zhang_GoodSAM_Bridging_Domain_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2403.16370
DYSON: Dynamic Feature Space Self-Organization for Online Task-Free Class Incremental Learning,"Yuhang He, Yingjie Chen, Yuhan Jin, Songlin Dong, Xing Wei, Yihong Gong",https://openaccess.thecvf.com/content/CVPR2024/papers/He_DYSON_Dynamic_Feature_Space_Self-Organization_for_Online_Task-Free_Class_Incremental_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/He_DYSON_Dynamic_Feature_CVPR_2024_supplemental.pdf,
Streaming Dense Video Captioning,"Xingyi Zhou, Anurag Arnab, Shyamal Buch, Shen Yan, Austin Myers, Xuehan Xiong, Arsha Nagrani, Cordelia Schmid",https://openaccess.thecvf.com/content/CVPR2024/papers/Zhou_Streaming_Dense_Video_Captioning_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Zhou_Streaming_Dense_Video_CVPR_2024_supplemental.zip,http://arxiv.org/abs/2404.01297
Rethinking Inductive Biases for Surface Normal Estimation,"Gwangbin Bae, Andrew J. Davison",https://openaccess.thecvf.com/content/CVPR2024/papers/Bae_Rethinking_Inductive_Biases_for_Surface_Normal_Estimation_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Bae_Rethinking_Inductive_Biases_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2403.00712
Event-based Structure-from-Orbit,"Ethan Elms, Yasir Latif, Tae Ha Park, Tat-Jun Chin",https://openaccess.thecvf.com/content/CVPR2024/papers/Elms_Event-based_Structure-from-Orbit_CVPR_2024_paper.pdf,,http://arxiv.org/abs/2405.06216
LED: A Large-scale Real-world Paired Dataset for Event Camera Denoising,Yuxing Duan,https://openaccess.thecvf.com/content/CVPR2024/papers/Duan_LED_A_Large-scale_Real-world_Paired_Dataset_for_Event_Camera_Denoising_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Duan_LED_A_Large-scale_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2405.19718
Fair Federated Learning under Domain Skew with Local Consistency and Domain Diversity,"Yuhang Chen, Wenke Huang, Mang Ye",https://openaccess.thecvf.com/content/CVPR2024/papers/Chen_Fair_Federated_Learning_under_Domain_Skew_with_Local_Consistency_and_CVPR_2024_paper.pdf,,http://arxiv.org/abs/2405.16585
Activity-Biometrics: Person Identification from Daily Activities,"Shehreen Azad, Yogesh Singh Rawat",https://openaccess.thecvf.com/content/CVPR2024/papers/Azad_Activity-Biometrics_Person_Identification_from_Daily_Activities_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Azad_Activity-Biometrics_Person_Identification_CVPR_2024_supplemental.pdf,
Z*: Zero-shot Style Transfer via Attention Reweighting,"Yingying Deng, Xiangyu He, Fan Tang, Weiming Dong",https://openaccess.thecvf.com/content/CVPR2024/papers/Deng_Z_Zero-shot_Style_Transfer_via_Attention_Reweighting_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Deng_Z_Zero-shot_Style_CVPR_2024_supplemental.pdf,
HIG: Hierarchical Interlacement Graph Approach to Scene Graph Generation in Video Understanding,"Trong-Thuan Nguyen, Pha Nguyen, Khoa Luu",https://openaccess.thecvf.com/content/CVPR2024/papers/Nguyen_HIG_Hierarchical_Interlacement_Graph_Approach_to_Scene_Graph_Generation_in_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Nguyen_HIG_Hierarchical_Interlacement_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2312.03050
OOSTraj: Out-of-Sight Trajectory Prediction With Vision-Positioning Denoising,"Haichao Zhang, Yi Xu, Hongsheng Lu, Takayuki Shimizu, Yun Fu",https://openaccess.thecvf.com/content/CVPR2024/papers/Zhang_OOSTraj_Out-of-Sight_Trajectory_Prediction_With_Vision-Positioning_Denoising_CVPR_2024_paper.pdf,,http://arxiv.org/abs/2404.02227
FADES: Fair Disentanglement with Sensitive Relevance,"Taeuk Jang, Xiaoqian Wang",https://openaccess.thecvf.com/content/CVPR2024/papers/Jang_FADES_Fair_Disentanglement_with_Sensitive_Relevance_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Jang_FADES_Fair_Disentanglement_CVPR_2024_supplemental.pdf,
Learning Continuous 3D Words for Text-to-Image Generation,"Ta-Ying Cheng, Matheus Gadelha, Thibault Groueix, Matthew Fisher, Radomir Mech, Andrew Markham, Niki Trigoni",https://openaccess.thecvf.com/content/CVPR2024/papers/Cheng_Learning_Continuous_3D_Words_for_Text-to-Image_Generation_CVPR_2024_paper.pdf,,http://arxiv.org/abs/2402.08654
MarkovGen: Structured Prediction for Efficient Text-to-Image Generation,"Sadeep Jayasumana, Daniel Glasner, Srikumar Ramalingam, Andreas Veit, Ayan Chakrabarti, Sanjiv Kumar",https://openaccess.thecvf.com/content/CVPR2024/papers/Jayasumana_MarkovGen_Structured_Prediction_for_Efficient_Text-to-Image_Generation_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Jayasumana_MarkovGen_Structured_Prediction_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2308.10997
Self-Supervised Class-Agnostic Motion Prediction with Spatial and Temporal Consistency Regularizations,"Kewei Wang, Yizheng Wu, Jun Cen, Zhiyu Pan, Xingyi Li, Zhe Wang, Zhiguo Cao, Guosheng Lin",https://openaccess.thecvf.com/content/CVPR2024/papers/Wang_Self-Supervised_Class-Agnostic_Motion_Prediction_with_Spatial_and_Temporal_Consistency_Regularizations_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Wang_Self-Supervised_Class-Agnostic_Motion_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2403.13261
HashPoint: Accelerated Point Searching and Sampling for Neural Rendering,"Jiahao Ma, Miaomiao Liu, David Ahmedt-Aristizabal, Chuong Nguyen",https://openaccess.thecvf.com/content/CVPR2024/papers/Ma_HashPoint_Accelerated_Point_Searching_and_Sampling_for_Neural_Rendering_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Ma_HashPoint_Accelerated_Point_CVPR_2024_supplemental.pdf,
MFP: Making Full Use of Probability Maps for Interactive Image Segmentation,"Chaewon Lee, Seon-Ho Lee, Chang-Su Kim",https://openaccess.thecvf.com/content/CVPR2024/papers/Lee_MFP_Making_Full_Use_of_Probability_Maps_for_Interactive_Image_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Lee_MFP_Making_Full_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2404.18448
CAT: Exploiting Inter-Class Dynamics for Domain Adaptive Object Detection,"Mikhail Kennerley, Jian-Gang Wang, Bharadwaj Veeravalli, Robby T. Tan",https://openaccess.thecvf.com/content/CVPR2024/papers/Kennerley_CAT_Exploiting_Inter-Class_Dynamics_for_Domain_Adaptive_Object_Detection_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Kennerley_CAT_Exploiting_Inter-Class_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2403.19278
StyLitGAN: Image-Based Relighting via Latent Control,"Anand Bhattad, James Soole, D.A. Forsyth",https://openaccess.thecvf.com/content/CVPR2024/papers/Bhattad_StyLitGAN_Image-Based_Relighting_via_Latent_Control_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Bhattad_StyLitGAN_Image-Based_Relighting_CVPR_2024_supplemental.pdf,
An Empirical Study of Scaling Law for Scene Text Recognition,"Miao Rang, Zhenni Bi, Chuanjian Liu, Yunhe Wang, Kai Han",https://openaccess.thecvf.com/content/CVPR2024/papers/Rang_An_Empirical_Study_of_Scaling_Law_for_Scene_Text_Recognition_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Rang_An_Empirical_Study_CVPR_2024_supplemental.pdf,
Text2Loc: 3D Point Cloud Localization from Natural Language,"Yan Xia, Letian Shi, Zifeng Ding, Joao F. Henriques, Daniel Cremers",https://openaccess.thecvf.com/content/CVPR2024/papers/Xia_Text2Loc_3D_Point_Cloud_Localization_from_Natural_Language_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Xia_Text2Loc_3D_Point_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2311.15977
SVDinsTN: A Tensor Network Paradigm for Efficient Structure Search from Regularized Modeling Perspective,"Yu-Bang Zheng, Xi-Le Zhao, Junhua Zeng, Chao Li, Qibin Zhao, Heng-Chao Li, Ting-Zhu Huang",https://openaccess.thecvf.com/content/CVPR2024/papers/Zheng_SVDinsTN_A_Tensor_Network_Paradigm_for_Efficient_Structure_Search_from_CVPR_2024_paper.pdf,,http://arxiv.org/abs/2305.14912
Decomposing Disease Descriptions for Enhanced Pathology Detection: A Multi-Aspect Vision-Language Pre-training Framework,"Vu Minh Hieu Phan, Yutong Xie, Yuankai Qi, Lingqiao Liu, Liyang Liu, Bowen Zhang, Zhibin Liao, Qi Wu, Minh-Son To, Johan W. Verjans",https://openaccess.thecvf.com/content/CVPR2024/papers/Phan_Decomposing_Disease_Descriptions_for_Enhanced_Pathology_Detection_A_Multi-Aspect_Vision-Language_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Phan_Decomposing_Disease_Descriptions_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2403.07636
MoMask: Generative Masked Modeling of 3D Human Motions,"Chuan Guo, Yuxuan Mu, Muhammad Gohar Javed, Sen Wang, Li Cheng",https://openaccess.thecvf.com/content/CVPR2024/papers/Guo_MoMask_Generative_Masked_Modeling_of_3D_Human_Motions_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Guo_MoMask_Generative_Masked_CVPR_2024_supplemental.zip,http://arxiv.org/abs/2312.00063
Inverse Rendering of Glossy Objects via the Neural Plenoptic Function and Radiance Fields,"Haoyuan Wang, Wenbo Hu, Lei Zhu, Rynson W.H. Lau",https://openaccess.thecvf.com/content/CVPR2024/papers/Wang_Inverse_Rendering_of_Glossy_Objects_via_the_Neural_Plenoptic_Function_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Wang_Inverse_Rendering_of_CVPR_2024_supplemental.zip,http://arxiv.org/abs/2403.16224
Split to Merge: Unifying Separated Modalities for Unsupervised Domain Adaptation,"Xinyao Li, Yuke Li, Zhekai Du, Fengling Li, Ke Lu, Jingjing Li",https://openaccess.thecvf.com/content/CVPR2024/papers/Li_Split_to_Merge_Unifying_Separated_Modalities_for_Unsupervised_Domain_Adaptation_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Li_Split_to_Merge_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2403.06946
Fitting Flats to Flats,"Gabriel Dogadov, Ugo Finnendahl, Marc Alexa",https://openaccess.thecvf.com/content/CVPR2024/papers/Dogadov_Fitting_Flats_to_Flats_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Dogadov_Fitting_Flats_to_CVPR_2024_supplemental.pdf,
Fusing Personal and Environmental Cues for Identification and Segmentation of First-Person Camera Wearers in Third-Person Views,"Ziwei Zhao, Yuchen Wang, Chuhua Wang",https://openaccess.thecvf.com/content/CVPR2024/papers/Zhao_Fusing_Personal_and_Environmental_Cues_for_Identification_and_Segmentation_of_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Zhao_Fusing_Personal_and_CVPR_2024_supplemental.pdf,
Coupled Laplacian Eigenmaps for Locally-Aware 3D Rigid Point Cloud Matching,"Matteo Bastico, Etienne Decencière, Laurent Corté, Yannick Tillier, David Ryckelynck",https://openaccess.thecvf.com/content/CVPR2024/papers/Bastico_Coupled_Laplacian_Eigenmaps_for_Locally-Aware_3D_Rigid_Point_Cloud_Matching_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Bastico_Coupled_Laplacian_Eigenmaps_CVPR_2024_supplemental.pdf,
Overcoming Generic Knowledge Loss with Selective Parameter Update,"Wenxuan Zhang, Paul Janson, Rahaf Aljundi, Mohamed Elhoseiny",https://openaccess.thecvf.com/content/CVPR2024/papers/Zhang_Overcoming_Generic_Knowledge_Loss_with_Selective_Parameter_Update_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Zhang_Overcoming_Generic_Knowledge_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2308.12462
Desigen: A Pipeline for Controllable Design Template Generation,"Haohan Weng, Danqing Huang, Yu Qiao, Zheng Hu, Chin-Yew Lin, Tong Zhang, C. L. Philip Chen",https://openaccess.thecvf.com/content/CVPR2024/papers/Weng_Desigen_A_Pipeline_for_Controllable_Design_Template_Generation_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Weng_Desigen_A_Pipeline_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2403.09093
Diff-BGM: A Diffusion Model for Video Background Music Generation,"Sizhe Li, Yiming Qin, Minghang Zheng, Xin Jin, Yang Liu",https://openaccess.thecvf.com/content/CVPR2024/papers/Li_Diff-BGM_A_Diffusion_Model_for_Video_Background_Music_Generation_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Li_Diff-BGM_A_Diffusion_CVPR_2024_supplemental.pdf,
Looking Similar Sounding Different: Leveraging Counterfactual Cross-Modal Pairs for Audiovisual Representation Learning,"Nikhil Singh, Chih-Wei Wu, Iroro Orife, Mahdi Kalayeh",https://openaccess.thecvf.com/content/CVPR2024/papers/Singh_Looking_Similar_Sounding_Different_Leveraging_Counterfactual_Cross-Modal_Pairs_for_Audiovisual_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Singh_Looking_Similar_Sounding_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2304.05600
Multi-criteria Token Fusion with One-step-ahead Attention for Efficient Vision Transformers,"Sanghyeok Lee, Joonmyung Choi, Hyunwoo J. Kim",https://openaccess.thecvf.com/content/CVPR2024/papers/Lee_Multi-criteria_Token_Fusion_with_One-step-ahead_Attention_for_Efficient_Vision_Transformers_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Lee_Multi-criteria_Token_Fusion_CVPR_2024_supplemental.pdf,http://arxiv.org/abs/2403.10030
Towards HDR and HFR Video from Rolling-Mixed-Bit Spikings,"Yakun Chang, Yeliduosi Xiaokaiti, Yujia Liu, Bin Fan, Zhaojun Huang, Tiejun Huang, Boxin Shi",https://openaccess.thecvf.com/content/CVPR2024/papers/Chang_Towards_HDR_and_HFR_Video_from_Rolling-Mixed-Bit_Spikings_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Chang_Towards_HDR_and_CVPR_2024_supplemental.pdf,
Scaling Up Video Summarization Pretraining with Large Language Models,"Dawit Mureja Argaw, Seunghyun Yoon, Fabian Caba Heilbron, Hanieh Deilamsalehy, Trung Bui, Zhaowen Wang, Franck Dernoncourt, Joon Son Chung",https://openaccess.thecvf.com/content/CVPR2024/papers/Argaw_Scaling_Up_Video_Summarization_Pretraining_with_Large_Language_Models_CVPR_2024_paper.pdf,,http://arxiv.org/abs/2404.03398
Continuous Optical Zooming: A Benchmark for Arbitrary-Scale Image Super-Resolution in Real World,"Huiyuan Fu, Fei Peng, Xianwei Li, Yejun Li, Xin Wang, Huadong Ma",https://openaccess.thecvf.com/content/CVPR2024/papers/Fu_Continuous_Optical_Zooming_A_Benchmark_for_Arbitrary-Scale_Image_Super-Resolution_in_CVPR_2024_paper.pdf,,
Sharingan: A Transformer Architecture for Multi-Person Gaze Following,"Samy Tafasca, Anshul Gupta, Jean-Marc Odobez",https://openaccess.thecvf.com/content/CVPR2024/papers/Tafasca_Sharingan_A_Transformer_Architecture_for_Multi-Person_Gaze_Following_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Tafasca_Sharingan_A_Transformer_CVPR_2024_supplemental.pdf,
ViewFusion: Towards Multi-View Consistency via Interpolated Denoising,"Xianghui Yang, Yan Zuo, Sameera Ramasinghe, Loris Bazzani, Gil Avraham, Anton van den Hengel",https://openaccess.thecvf.com/content/CVPR2024/papers/Yang_ViewFusion_Towards_Multi-View_Consistency_via_Interpolated_Denoising_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Yang_ViewFusion_Towards_Multi-View_CVPR_2024_supplemental.zip,http://arxiv.org/abs/2402.18842
